id,trigger,conditions,script,text,options,notes
snrDiscuss,PopulateOptions,SystemNameRename canDiscuss,,,50:snr_discuss:Discuss the system's official designation.,
snrDiscussSelected,DialogOptionSelected,$option == snr_discuss,SystemNameRename begin,,,
snrSystemSelected,DialogOptionSelected,$option == snr_system,SystemNameRename system,,,
snrSystemBothSelected,DialogOptionSelected,$option == snr_system_both,SystemNameRename input system_both,,,
snrSystemOnlySelected,DialogOptionSelected,$option == snr_system_only,SystemNameRename input system,,,
snrStar0Selected,DialogOptionSelected,$option == snr_star_0,SystemNameRename input star 0,,,
snrStar1Selected,DialogOptionSelected,$option == snr_star_1,SystemNameRename input star 1,,,
snrStar2Selected,DialogOptionSelected,$option == snr_star_2,SystemNameRename input star 2,,,
snrMenuSelected,DialogOptionSelected,$option == snr_menu,SystemNameRename begin,,,
snrReturnSelected,DialogOptionSelected,$option == snr_return,FireAll PopulateOptions,,,
